ProductName,LicensePartNumber,LicenseSKUID
Microsoft 365 A3 for students,M365EDU_A3_STUDENT,7cfd9a2b-e110-4c39-bf20-c6a3f36a3121
Microsoft 365 A5 for faculty,M365EDU_A5_FACULTY,e97c048c-37a4-45fb-ab50-922fbf07a370
Microsoft 365 A5 for students,M365EDU_A5_STUDENT,46c119d4-0379-4a9d-85e4-97c66d3f909e
MICROSOFT 365 APPS FOR BUSINESS,O365_BUSINESS,cdd28e44-67e3-425e-be4c-737fab2899d3
MICROSOFT 365 APPS FOR BUSINESS,SMB_BUSINESS,b214fe43-f5a3-4703-beeb-fa97188220fc
MICROSOFT 365 APPS FOR ENTERPRISE,OFFICESUBSCRIPTION,c2273bd0-dff7-4215-9ef5-2c7bcfb06425
MICROSOFT 365 BUSINESS BASIC,O365_BUSINESS_ESSENTIALS,3b555118-da6a-4418-894f-7df1e2096870
MICROSOFT 365 BUSINESS BASIC,SMB_BUSINESS_ESSENTIALS,dab7782a-93b1-4074-8bb1-0e61318bea0b
MICROSOFT 365 BUSINESS STANDARD,O365_BUSINESS_PREMIUM,f245ecc8-75af-4f8e-b61f-27d8114de5f3
MICROSOFT 365 BUSINESS STANDARD,SMB_BUSINESS_PREMIUM,ac5cef5d-921b-4f97-9ef3-c99076e5470f
MICROSOFT 365 BUSINESS PREMIUM,SPB,cbdc14ab-d96c-4c30-b9f4-6ada7cdc1d46
MICROSOFT 365 E3,SPE_E3,05e9a617-0261-4cee-bb44-138d3ef5d965
Microsoft 365 E5,SPE_E5,06ebc4ee-1bb5-47dd-8120-11324bc54e06
Microsoft 365 E3_USGOV_DOD,SPE_E3_USGOV_DOD,d61d61cc-f992-433f-a577-5bd016037eeb
Microsoft 365 E3_USGOV_GCCHIGH,SPE_E3_USGOV_GCCHIGH,ca9d1dd9-dfe9-4fef-b97c-9bc1ea3c3658
Microsoft 365 E5 Compliance,INFORMATION_PROTECTION_COMPLIANCE,184efa21-98c3-4e5d-95ab-d07053a96e67
Microsoft 365 E5 Security,IDENTITY_THREAT_PROTECTION,26124093-3d78-432b-b5dc-48bf992543d5
Microsoft 365 E5 Security for EMS E5,IDENTITY_THREAT_PROTECTION_FOR_EMS_E5,44ac31e7-2999-4304-ad94-c948886741d4
Microsoft 365 F1,M365_F1,44575883-256e-4a79-9da4-ebe9acabe2b2
Microsoft 365 F3,SPE_F1,66b55226-6b4f-492c-910c-a3b7a3c9d993
MICROSOFT FLOW FREE,FLOW_FREE,f30db892-07e9-47e9-837c-80727f46fd3d
MICROSOFT 365 PHONE SYSTEM,MCOEV,e43b5b99-8dfb-405f-9987-dc307f34bcbd
MICROSOFT 365 PHONE SYSTEM FOR DOD,MCOEV_DOD,d01d9287-694b-44f3-bcc5-ada78c8d953e
MICROSOFT 365 PHONE SYSTEM FOR FACULTY,MCOEV_FACULTY,d979703c-028d-4de5-acbf-7955566b69b9
MICROSOFT 365 PHONE SYSTEM FOR GCC,MCOEV_GOV,a460366a-ade7-4791-b581-9fbff1bdaa85
MICROSOFT 365 PHONE SYSTEM FOR GCCHIGH,MCOEV_GCCHIGH,7035277a-5e49-4abc-a24f-0ec49c501bb5
MICROSOFT 365 PHONE SYSTEM FOR SMALL AND MEDIUM BUSINESS,MCOEVSMB_1,aa6791d3-bb09-4bc2-afed-c30c3fe26032
MICROSOFT 365 PHONE SYSTEM FOR STUDENTS,MCOEV_STUDENT,1f338bbc-767e-4a1e-a2d4-b73207cc5b93
MICROSOFT 365 PHONE SYSTEM FOR TELSTRA,MCOEV_TELSTRA,ffaf2d68-1c95-4eb3-9ddd-59b81fba0f61
MICROSOFT 365 PHONE SYSTEM_USGOV_DOD,MCOEV_USGOV_DOD,b0e7de67-e503-4934-b729-53d595ba5cd1
MICROSOFT 365 PHONE SYSTEM_USGOV_GCCHIGH,MCOEV_USGOV_GCCHIGH,985fcb26-7b94-475b-b512-89356697be71
Microsoft Defender Advanced Threat Protection,WIN_DEF_ATP,111046dd-295b-4d6d-9724-d52ac90bd1f2
MICROSOFT DYNAMICS CRM ONLINE BASIC,CRMPLAN2,906af65a-2970-46d5-9b58-4e9aa50f0657
MICROSOFT DYNAMICS CRM ONLINE,CRMSTANDARD,d17b27af-3f49-4822-99f9-56a661538792
MS IMAGINE ACADEMY,IT_ACADEMY_AD,ba9a34de-4489-469d-879c-0f0f145321cd
MICROSOFT TEAM (FREE),TEAMS_FREE,16ddbbfc-09ea-4de2-b1d7-312db6112d70
Office 365 A5 for faculty,ENTERPRISEPREMIUM_FACULTY,a4585165-0533-458a-97e3-c400570268c4
Office 365 A5 for students,ENTERPRISEPREMIUM_STUDENT,ee656612-49fa-43e5-b67e-cb1fdf7699df
Office 365 Advanced Compliance,EQUIVIO_ANALYTICS,1b1b1f7a-8355-43b6-829f-336cfccb744c
Office 365 Advanced Threat Protection (Plan 1),ATP_ENTERPRISE,4ef96642-f096-40de-a3e9-d83fb2f90211
OFFICE 365 E1,STANDARDPACK,18181a46-0d4e-45cd-891e-60aabd171b4e
OFFICE 365 E2,STANDARDWOFFPACK,6634e0ce-1a9f-428c-a498-f84ec7b8aa2e
OFFICE 365 E3,ENTERPRISEPACK,6fd2c87f-b296-42f0-b197-1e91e994b900
OFFICE 365 E3 DEVELOPER,DEVELOPERPACK,189a915c-fe4f-4ffa-bde4-85b9628d07a0
Office 365 E3_USGOV_DOD,ENTERPRISEPACK_USGOV_DOD,b107e5a3-3e60-4c0d-a184-a7e4395eb44c
Office 365 E3_USGOV_GCCHIGH,ENTERPRISEPACK_USGOV_GCCHIGH,aea38a85-9bd5-4981-aa00-616b411205bf
OFFICE 365 E4,ENTERPRISEWITHSCAL,1392051d-0cb9-4b7a-88d5-621fee5e8711
OFFICE 365 E5,ENTERPRISEPREMIUM,c7df2760-2c81-4ef7-b578-5b5392b571df
OFFICE 365 E5 WITHOUT AUDIO CONFERENCING,ENTERPRISEPREMIUM_NOPSTNCONF,26d45bd9-adf1-46cd-a9e1-51e9a5524128
OFFICE 365 F1,DESKLESSPACK,4b585984-651b-448a-9e53-3b10f069cf7f
OFFICE 365 F3,DESKLESSPACK,4b585984-651b-448a-9e53-3b10f069cf7f
OFFICE 365 MIDSIZE BUSINESS,MIDSIZEPACK,04a7fb0d-32e0-4241-b4f5-3f7618cd1162
OFFICE 365 SMALL BUSINESS,LITEPACK,bd09678e-b83c-4d3f-aaba-3dad4abd128b
OFFICE 365 SMALL BUSINESS PREMIUM,LITEPACK_P2,fc14ec4a-4169-49a4-a51e-2c852931814b
ONEDRIVE FOR BUSINESS (PLAN 1),WACONEDRIVESTANDARD,e6778190-713e-4e4f-9119-8b8238de25df
ONEDRIVE FOR BUSINESS (PLAN 2),WACONEDRIVEENTERPRISE,ed01faf2-1d88-4947-ae91-45ca18703a96
POWER APPS PER USER PLAN,POWERAPPS_PER_USER,b30411f5-fea1-4a59-9ad9-3db7c7ead579
POWER BI (FREE),POWER_BI_STANDARD,a403ebcc-fae0-4ca2-8c8c-7a907fd6c235
POWER BI FOR OFFICE 365 ADD-ON,POWER_BI_ADDON,45bc2c81-6072-436a-9b0b-3b12eefbc402
POWER BI PRO,POWER_BI_PRO,f8a1db68-be16-40ed-86d5-cb42ce701560
PROJECT FOR OFFICE 365,PROJECTCLIENT,a10d5e58-74da-4312-95c8-76be4e5b75a0
PROJECT ONLINE ESSENTIALS,PROJECTESSENTIALS,776df282-9fc0-4862-99e2-70e561b9909e
PROJECT ONLINE PREMIUM,PROJECTPREMIUM,09015f9f-377f-4538-bbb5-f75ceb09358a
PROJECT ONLINE PREMIUM WITHOUT PROJECT CLIENT,PROJECTONLINE_PLAN_1,2db84718-652c-47a7-860c-f10d8abbdae3
PROJECT ONLINE PROFESSIONAL,PROJECTPROFESSIONAL,53818b1b-4a27-454b-8896-0dba576410e6
PROJECT ONLINE WITH PROJECT FOR OFFICE 365,PROJECTONLINE_PLAN_2,f82a60b8-1ee3-4cfb-a4fe-1c6a53c2656c
SHAREPOINT ONLINE (PLAN 1),SHAREPOINTSTANDARD,1fc08a02-8b3d-43b9-831e-f76859e04e1a
SHAREPOINT ONLINE (PLAN 2),SHAREPOINTENTERPRISE,a9732ec9-17d9-494c-a51c-d6b45b384dcb
SKYPE FOR BUSINESS ONLINE (PLAN 1),MCOIMP,b8b749f8-a4ef-4887-9539-c95b1eaa5db7
SKYPE FOR BUSINESS ONLINE (PLAN 2),MCOSTANDARD,d42c793f-6c78-4f43-92ca-e8f6a02b035f
SKYPE FOR BUSINESS PSTN DOMESTIC AND INTERNATIONAL CALLING,MCOPSTN2,d3b4fe1f-9992-4930-8acb-ca6ec609365e
SKYPE FOR BUSINESS PSTN DOMESTIC CALLING,MCOPSTN1,0dab259f-bf13-4952-b7f8-7db8f131b28d
SKYPE FOR BUSINESS PSTN DOMESTIC CALLING (120 Minutes),MCOPSTN5,54a152dc-90de-4996-93d2-bc47e670fc06
VISIO ONLINE PLAN 1,VISIOONLINE_PLAN1,4b244418-9658-4451-a2b8-b5e2b364e9bd
VISIO Online Plan 2,VISIOCLIENT,c5928f49-12ba-48f7-ada3-0d743a3601d5
WINDOWS 10 ENTERPRISE E3,WIN10_PRO_ENT_SUB,cb10e6cd-9da4-4992-867b-67546b1db821
Windows 10 Enterprise E5,WIN10_VDA_E5,488ba24a-39a9-4473-8ee5-19291e71b002
WINDOWS STORE FOR BUSINESS,WINDOWS_STORE,6470687e-a428-4b7a-bef2-8a291ad947c9
